"","contair","Intrsc","ppub","islcal","cobarb","pop10","morta","pbranc","pparda","noenrg","noagpt","norrss","nosane","hphog","dnspop","ppoprl","ppopmd","alfa"
"PARANAPIACABA",14.39466667,11.664285,65.7234569,-0.320776367,85.7971929,3096,0,0.520671835,0.401808786,0.273474178,0.602112676,0.01056338,0.007042254,3.6,33.9404383,0.388497653,0.296948357,91.56
"SAO BERNARDO DO CAMPO",17.38869565,351.4935094,10.28579943,1.340031,18.09316171,736161,0.105955083,0.647014716,0.284517925,0.018305743,0.009170215,0.001261717,0.000446587,3.18,5225.701053,0.162292494,0.524514736,95.72
"RIACHO GRANDE",16.41102041,12.01829703,21.50868212,-0.6512063,70.10257407,29302,0.238891543,0.576138148,0.361408778,0.049437676,0.294517338,0.012417994,0.002811621,3.4,95.33301016,0.312902848,0.367865932,93.62
"SAO CAETANO DO SUL",17.46428571,756.4281948,2.249009211,2.6756396,0.086103573,149263,0.046897088,0.853895473,0.106221904,0.000415907,0.000396102,3.96e-05,0.000198051,2.94,8822.217662,0.064318682,0.607253927,97.7
"SAO LOURENCO DA SERRA",15.73333336,10.31726025,8.631739422,-0.689673167,85.42163914,13973,0.071566593,0.613826666,0.324697631,0.013035382,0.423649907,0.054469274,0.001629423,3.23,67.93735979,0.298437864,0.347866636,91.48
"AGUA RASA",18.22857121,885.3902277,1.667881777,3.1222221,0.018044379,84963,0.070618975,0.836776008,0.112578416,0.000872539,0.000488622,0.000244311,0.000139606,2.96,10830.0331,0.122377744,0.571014695,97.75
"ALTO DE PINHEIROS",17.18000011,664.2267571,5.459136234,3.767147133,1.384193322,43117,0.023192708,0.887399402,0.060648932,0.000324507,0.000519211,6.49e-05,0,2.77,5262.672747,0.071846174,0.326945563,98.88
"ANHANGUERA",15.80999994,128.749004,3.437706645,0.801953067,53.4722244,65859,0.182207443,0.491322371,0.437480071,0.013016412,0.025827031,0.010752688,0.001028965,3.38,1804.102266,0.223051196,0.423308464,92.82
"ARICANDUVA",18.24000015,986.6759304,0.666281817,2.6744478,0.019548109,89622,0.111579746,0.695867086,0.220503894,0.001373775,0.001626839,7.23e-05,0.000289216,3.24,11907.87372,0.162566032,0.53061003,96.06
"ARTUR ALVIM",17.08000031,814.4242913,0.808558322,2.683334567,0.024325047,105269,0.246986292,0.614824877,0.27189391,0.001186521,0.000652587,0.001156858,0.000385619,3.12,14705.59704,0.136449929,0.58130636,96.38
"BARRA FUNDA",16.85999985,408.4325606,3.96661067,3.074998667,0.531319414,14383,0,0.81276507,0.126538274,0.031477859,0.027921039,0.002489774,0.000711364,2.52,2226.870932,0.067247821,0.436221313,96.92
"BELA VISTA",16.45000029,678.1479496,0.973035617,5.163329233,0.265947318,69460,0.014396775,0.735315289,0.167852001,0.001334802,0.00850936,0.00010011,0.00040044,2.23,23022.55942,0.059843419,0.465911764,97.86
"BELEM",17.57500029,548.1804984,3.985663935,3.098334467,0.083309476,45057,0.066582329,0.722218523,0.207603702,0.018362075,0.001186902,0.000767996,0.000209453,3,6737.416453,0.092807263,0.579678771,97.08
"BOM RETIRO",16.51999969,600.3393306,5.335912612,3.936665067,0.629369183,33892,0.088516464,0.530184114,0.268263897,0.034745763,0.033709981,0.000188324,0.002071563,3.05,7340.079579,0.208513844,0.522697306,96.19
"BRAS",17.86666679,624.4812216,0.446756825,3.6399935,0,29265,0.068341022,0.632667008,0.275892705,0.001978239,0.000197824,0.000197824,0.001285856,2.84,7357.263668,0.106987332,0.607581156,96.56
"BRASILANDIA",16.67368422,478.1019749,36.16741646,2.985001067,42.66633655,264918,0.230259929,0.486188179,0.402086683,0.013844695,0.013364157,0.010091302,0.000597426,3.44,11437.40464,0.27605107,0.380632006,92.95
"BUTANTA",16.52500002,441.7193501,4.880848943,3.3766693,7.39871812,54196,0.018451546,0.771662115,0.119049376,0.000701111,0.000647179,5.39e-05,0,2.84,3783.094484,0.064397821,0.509249771,98.27
"CACHOEIRINHA",17.63076907,454.0053693,34.3169943,2.269045767,39.83325785,143523,0.257798402,0.555332595,0.337924932,0.017805684,0.005997704,0.001686854,0.000702856,3.36,9710.910971,0.206363338,0.476477204,94.1
"CAMBUCI",17.83333333,568.4663385,0.798012626,3.4899996,0.217054264,36948,0.054130129,0.737766591,0.172485656,0.00300514,0.002293397,0.001660735,0.001897983,2.79,8565.943832,0.076326821,0.560230958,96.75
"CAMPO BELO",17.8222226,774.8493191,7.495366934,3.838334833,0.120031718,65752,0.045625989,0.836263536,0.100194671,0.018254397,0.002411743,0.000166327,0.000166327,2.72,6811.215566,0.104763886,0.365550239,98.09
"CAMPO GRANDE",18.05000019,557.3040078,8.158680309,1.046970367,2.571639686,100713,0.129079662,0.74416411,0.182766872,0.002230881,0.003718136,0.000148725,0.000237961,2.99,7068.987222,0.094723685,0.539832753,97.63
"CAMPO LIMPO",17.66666651,643.639832,2.582769205,2.925326933,1.879227724,211361,0.108818562,0.506351692,0.404686768,0.004337138,0.004634631,0.003522946,0.000281836,3.31,15340.59072,0.206417565,0.47276685,94.44
